Power 0B,Power 1Y,Power 2G,Power 3W,Time,Trial Number
4594.00,4998.00,1386.00,0.00,17314.00,0
3684.00,5322.00,1334.00,0.00,17355.00,0
3592.00,5280.00,1392.00,0.00,17395.00,0
3604.00,5236.00,1382.00,0.00,17436.00,0
3474.00,5442.00,1390.00,0.00,17476.00,0
3532.00,5462.00,1396.00,0.00,17517.00,0
104.00,5410.00,1366.00,0.00,17557.00,0
810.00,6232.00,1438.00,0.00,17595.00,0
1000.00,6692.00,1426.00,0.00,17636.00,0
1026.00,6476.00,1422.00,0.00,17676.00,0
1072.00,6276.00,8854.00,0.00,17717.00,0
1104.00,5394.00,4866.00,0.00,17758.00,0
1042.00,4798.00,4136.00,0.00,17798.00,0
1130.00,4286.00,3686.00,0.00,17839.00,0
1092.00,4128.00,3608.00,0.00,17880.00,0
1092.00,554.00,3568.00,0.00,17919.00,0
1068.00,744.00,3654.00,0.00,17959.00,0
1144.00,894.00,4122.00,0.00,17998.00,0
1346.00,1052.00,5178.00,0.00,18039.00,0
1504.00,1190.00,5138.00,0.00,18080.00,0
1504.00,1236.00,5280.00,0.00,18120.00,0
1464.00,1268.00,5144.00,0.00,18161.00,0
1490.00,1248.00,5542.00,0.00,18201.00,0
1482.00,1268.00,5436.00,0.00,18242.00,0
1490.00,1210.00,5424.00,0.00,18283.00,0
1528.00,1128.00,6318.00,0.00,18322.00,0
1520.00,1118.00,6220.00,0.00,18363.00,0
1482.00,1088.00,6386.00,0.00,18403.00,0
1520.00,1094.00,6232.00,0.00,18444.00,0
1518.00,1146.00,236.00,0.00,18484.00,0
1530.00,1130.00,1416.00,0.00,18524.00,0
1500.00,1190.00,1612.00,0.00,18565.00,0
9728.00,1258.00,1644.00,0.00,18605.00,0
8278.00,1310.00,1688.00,0.00,18646.00,0
7988.00,1310.00,1730.00,0.00,18687.00,0
7822.00,1328.00,1736.00,0.00,18727.00,0
7700.00,1294.00,1672.00,0.00,18768.00,0
7628.00,1294.00,1756.00,0.00,18808.00,0
7580.00,1320.00,1682.00,0.00,18849.00,0
7652.00,1310.00,1734.00,0.00,18890.00,0
7616.00,1284.00,1688.00,0.00,18930.00,0
7684.00,9968.00,1688.00,0.00,18971.00,0
6638.00,6068.00,1606.00,0.00,19012.00,0
4194.00,4164.00,1546.00,0.00,19052.00,0
334.00,4096.00,1488.00,0.00,19092.00,0
888.00,4604.00,1498.00,0.00,19130.00,0
1118.00,4830.00,1494.00,0.00,19171.00,0
1110.00,5360.00,1498.00,0.00,19212.00,0
1160.00,5430.00,1544.00,0.00,19252.00,0
1166.00,5190.00,1508.00,0.00,19293.00,0
1124.00,5646.00,1488.00,0.00,19333.00,0
1128.00,5780.00,1490.00,0.00,19374.00,0
1156.00,1652.00,1550.00,0.00,19415.00,0
1206.00,1020.00,1554.00,0.00,19455.00,0
1182.00,1256.00,1576.00,0.00,19496.00,0
1226.00,1314.00,9106.00,0.00,19536.00,0
1210.00,1256.00,5452.00,0.00,19577.00,0
1238.00,1336.00,4522.00,0.00,19618.00,0
1226.00,1336.00,4328.00,0.00,19658.00,0
1536.00,1586.00,4748.00,0.00,19699.00,0
1760.00,1744.00,4922.00,0.00,19739.00,0
1770.00,1772.00,5044.00,0.00,19780.00,0
1700.00,1802.00,4926.00,0.00,19821.00,0
1762.00,1790.00,5044.00,0.00,19861.00,0
1762.00,1780.00,5066.00,0.00,19902.00,0
1762.00,1744.00,5030.00,0.00,19942.00,0
1690.00,1812.00,4820.00,0.00,19982.00,0
1772.00,1822.00,4676.00,0.00,20023.00,0
1726.00,1802.00,730.00,0.00,20062.00,0
1776.00,1836.00,1570.00,0.00,20103.00,0
10574.00,1844.00,1710.00,0.00,20145.00,0
8366.00,1848.00,1734.00,0.00,20185.00,0
7844.00,1828.00,1664.00,0.00,20226.00,0
7746.00,1832.00,1694.00,0.00,20266.00,0
7806.00,1872.00,1710.00,0.00,20307.00,0
7688.00,1844.00,1720.00,0.00,20348.00,0
7700.00,1854.00,1718.00,0.00,20388.00,0
7632.00,1916.00,1700.00,0.00,20429.00,0
7582.00,14782.00,1746.00,0.00,20470.00,0
7146.00,7806.00,1662.00,0.00,20511.00,0
4588.00,4772.00,1606.00,0.00,20552.00,0
3512.00,4404.00,1564.00,0.00,20592.00,0
3382.00,4974.00,1546.00,0.00,20633.00,0
3254.00,5272.00,1580.00,0.00,20673.00,0
3194.00,5316.00,1550.00,0.00,20714.00,0
734.00,5220.00,1536.00,0.00,20753.00,0
784.00,5796.00,1556.00,0.00,20792.00,0
1020.00,6426.00,1494.00,0.00,20833.00,0
1124.00,5826.00,1518.00,0.00,20874.00,0
1156.00,6150.00,1570.00,0.00,20914.00,0
1118.00,6544.00,1602.00,0.00,20955.00,0
1186.00,6504.00,1576.00,0.00,20995.00,0
1176.00,0.00,1566.00,0.00,21033.00,0
1192.00,956.00,1622.00,0.00,21072.00,0
1196.00,1074.00,8094.00,0.00,21113.00,0
1238.00,1182.00,5414.00,0.00,21154.00,0
1268.00,1186.00,5230.00,0.00,21194.00,0
1756.00,1320.00,6390.00,0.00,21235.00,0
