curr 0B,curr 1Y,curr 2G,curr 3W,Time,Trial Number,,,,
1.02,8.07,8.01,7.47,voltageMeasure,-1,,,,
0,554,4594,3312,20533,0,2820,,,
0,554,4594,4472,20573,0,3206.666667,,,
0,594,4722,4472,20612,0,3262.666667,,,
0,594,4722,4472,20652,0,3262.666667,,,
0,594,4722,4424,20692,0,3246.666667,,,
0,558,4722,4424,20731,0,3234.666667,,,
0,558,4672,4424,20771,0,3218,,,
0,558,4672,4424,20810,0,3218,,,
0,558,4672,4418,20850,0,3216,,,
0,548,4948,4418,20890,0,3304.666667,,,
0,548,4948,4418,20929,0,3304.666667,,,
0,548,4948,4408,20968,0,3301.333333,,,
0,684,560,4408,21006,0,1884,,,
0,684,560,4408,21045,0,1884,,,
0,684,560,4618,21084,0,1954,,,
0,730,570,4618,21122,0,1972.666667,,,
0,730,570,4618,21161,0,1972.666667,,,
0,730,570,904,21198,0,734.6666667,,,
0,1452,570,904,21237,0,975.3333333,,,
0,1452,570,904,21275,0,975.3333333,,,
0,1452,570,904,21314,0,975.3333333,,,
0,1452,570,940,21352,0,987.3333333,,,
0,4398,570,940,21390,0,1969.333333,,,
0,4398,570,940,21429,0,1969.333333,,,
0,4398,570,940,21467,0,1969.333333,,,
0,4296,570,940,21506,0,1935.333333,,,
0,4296,570,940,21544,0,1935.333333,,,
0,4296,570,944,21583,0,1936.666667,,,
0,4568,570,944,21622,0,2027.333333,,,
0,4568,570,944,21660,0,2027.333333,,,
0,4568,570,944,21699,0,2027.333333,,,
0,4568,570,948,21736,0,2028.666667,,,
0,1006,570,948,21775,0,841.3333333,,,
0,1006,570,948,21814,0,841.3333333,,,
0,1006,570,948,21852,0,841.3333333,,,
0,1046,560,948,21891,0,851.3333333,,,
0,1046,560,948,21929,0,851.3333333,,,
0,1046,560,948,21968,0,851.3333333,,,
0,792,4676,948,22006,0,2138.666667,,,
0,792,4676,948,22045,0,2138.666667,,,
0,792,4676,948,22084,0,2138.666667,,,
0,792,4676,918,22121,0,2128.666667,,,
0,632,4506,918,22160,0,2018.666667,,,
0,632,4506,918,22198,0,2018.666667,,,
0,632,4506,5898,22238,0,3678.666667,,,
0,606,4568,5898,22277,0,3690.666667,,,
0,606,4568,5898,22317,0,3690.666667,,,
0,606,4568,5354,22357,0,3509.333333,,,
0,576,3604,5354,22396,0,3178,,,
0,576,3604,5354,22436,0,3178,,,
0,576,3604,5332,22475,0,3170.666667,,,
0,702,648,5332,22514,0,2227.333333,,,
0,702,648,5332,22553,0,2227.333333,,,
0,702,648,5332,22590,0,2227.333333,,,
0,702,652,5308,22629,0,2220.666667,,,
0,708,652,5308,22667,0,2222.666667,,,
0,708,652,5308,22706,0,2222.666667,,,
0,708,652,5486,22744,0,2282,,,
0,5652,648,5486,22784,0,3928.666667,,,
0,5652,648,5486,22824,0,3928.666667,,,
0,5652,648,564,22862,0,2288,,,
0,5588,638,564,22901,0,2263.333333,,,
0,5588,638,564,22939,0,2263.333333,,,
0,5588,638,564,22978,0,2263.333333,,,
0,5588,638,616,23016,0,2280.666667,,,
0,5534,638,616,23054,0,2262.666667,,,
0,5534,638,616,23093,0,2262.666667,,,
0,5534,638,620,23131,0,2264,,,
0,2690,642,620,23170,0,1317.333333,,,
0,2690,642,620,23208,0,1317.333333,,,
0,2690,642,620,23247,0,1317.333333,,,
0,324,652,620,23285,0,532,,,
0,324,652,620,23322,0,532,,,
0,324,652,620,23359,0,532,,,
0,324,630,620,23396,0,524.6666667,,,
0,324,630,620,23434,0,524.6666667,,,
0,324,630,620,23471,0,524.6666667,,,
0,324,630,620,23509,0,524.6666667,,,
0,194,4382,620,23548,0,1732,,,
0,194,4382,620,23586,0,1732,,,
0,194,4382,620,23625,0,1732,,,
0,186,4702,620,23663,0,1836,,,
0,186,4702,620,23701,0,1836,,,
0,186,4702,620,23739,0,1836,,,
0,186,4670,620,23778,0,1825.333333,,,
0,186,4670,620,23817,0,1825.333333,,,
0,186,4670,620,23855,0,1825.333333,,,
0,186,4718,5410,23895,0,3438,,,
0,186,4718,5410,23934,0,3438,,,
0,186,4718,5410,23974,0,3438,,,
0,186,4718,4692,24014,0,3198.666667,,,
0,184,4690,4692,24053,0,3188.666667,,,
0,184,4690,4692,24093,0,3188.666667,,,
0,184,4690,4662,24132,0,3178.666667,,,
0,2218,4728,4662,24173,0,3869.333333,,,
0,2218,4728,4662,24213,0,3869.333333,,,
0,2218,4728,4662,24253,0,3869.333333,,,
0,2218,2788,4774,24294,0,3260,,,
0,2506,2788,4774,24334,0,3356,,,
0,2506,2788,4774,24375,0,3356,,,
0,2506,684,810,24414,0,1333.333333,,,
0,4820,684,810,24452,0,2104.666667,,,
0,4820,684,810,24491,0,2104.666667,,,
0,4820,704,830,24529,0,2118,,,
0,4836,704,830,24568,0,2123.333333,,,
0,4836,704,830,24606,0,2123.333333,,,
0,4836,704,830,24645,0,2123.333333,,,
